Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
2012,ALGERIA,DZA,-0.90,0.12,15.00,21.60,16.36,27.57
2013,ALGERIA,DZA,-0.89,0.11,15.00,22.54,16.82,28.04
2014,ALGERIA,DZA,-0.82,0.13,12.00,26.11,20.59,29.90
2015,ALGERIA,DZA,-0.85,0.13,11.00,24.63,20.10,28.92
1996,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,AMERICAN SAMOA,ASM,0.47,0.39,1.00,63.46,43.54,84.69
2005,AMERICAN SAMOA,ASM,0.64,0.42,1.00,69.23,47.85,89.95
2006,AMERICAN SAMOA,ASM,0.58,0.51,1.00,66.83,38.76,95.22
2007,AMERICAN SAMOA,ASM,1.01,0.53,1.00,79.33,54.07,100.00
2008,AMERICAN SAMOA,ASM,1.00,0.53,1.00,80.29,53.59,100.00
2009,AMERICAN SAMOA,ASM,1.00,0.52,1.00,77.73,54.25,100.00
2010,AMERICAN SAMOA,ASM,1.02,0.49,1.00,79.62,55.66,100.00
2011,AMERICAN SAMOA,ASM,1.05,0.46,1.00,80.75,56.54,100.00
2012,AMERICAN SAMOA,ASM,1.07,0.44,1.00,82.63,58.41,100.00
2013,AMERICAN SAMOA,ASM,1.05,0.47,1.00,81.69,57.01,100.00
2014,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1996,ANDORRA,ADO,1.54,0.30,3.00,96.15,79.90,100.00
1998,ANDORRA,ADO,1.50,0.30,3.00,96.15,77.51,100.00
2000,ANDORRA,ADO,1.50,0.30,3.00,95.19,78.95,100.00
2002,ANDORRA,ADO,1.39,0.27,3.00,93.75,73.68,100.00
2003,ANDORRA,ADO,1.30,0.27,3.00,91.35,72.73,100.00
2004,ANDORRA,ADO,1.48,0.28,3.00,93.75,81.82,100.00
2005,ANDORRA,ADO,1.45,0.28,3.00,92.79,78.95,100.00
2006,ANDORRA,ADO,1.34,0.24,3.00,92.31,77.99,100.00
2007,ANDORRA,ADO,1.32,0.23,3.00,92.31,75.12,100.00
2008,ANDORRA,ADO,1.35,0.23,3.00,92.79,76.56,100.00
2009,ANDORRA,ADO,1.33,0.23,3.00,92.42,75.00,100.00
2010,ANDORRA,ADO,1.33,0.24,3.00,92.89,75.47,100.00
2011,ANDORRA,ADO,1.37,0.23,3.00,93.90,76.64,100.00
2012,ANDORRA,ADO,1.44,0.23,4.00,93.90,81.31,100.00
2013,ANDORRA,ADO,1.42,0.23,4.00,93.43,79.91,100.00
2014,ANDORRA,ADO,1.19,0.24,2.00,86.70,71.08,98.53
2015,ANDORRA,ADO,1.21,0.22,2.00,87.19,73.04,98.04
1996,ANGOLA,AGO,-1.64,0.22,5.00,5.77,0.48,12.44
1998,ANGOLA,AGO,-1.44,0.23,5.00,8.65,2.87,16.75
2000,ANGOLA,AGO,-1.48,0.21,6.00,8.65,2.87,16.75
2002,ANGOLA,AGO,-1.24,0.17,8.00,12.50,8.13,20.57
2003,ANGOLA,AGO,-1.27,0.16,9.00,12.50,8.13,21.53
2004,ANGOLA,AGO,-1.28,0.15,11.00,12.98,7.18,19.14
2005,ANGOLA,AGO,-1.24,0.15,11.00,12.02,8.13,20.10
2006,ANGOLA,AGO,-1.23,0.12,13.00,12.02,8.61,19.14
2007,ANGOLA,AGO,-1.17,0.13,12.00,14.90,9.57,20.57
2008,ANGOLA,AGO,-1.13,0.12,13.00,16.35,10.53,21.53
2009,ANGOLA,AGO,-1.13,0.11,15.00,14.22,9.91,21.23
2010,ANGOLA,AGO,-1.12,0.11,16.00,14.69,12.26,22.17
2011,ANGOLA,AGO,-1.12,0.11,16.00,15.49,12.15,22.43
2012,ANGOLA,AGO,-1.07,0.12,15.00,16.43,13.55,23.83
2013,ANGOLA,AGO,-1.11,0.11,16.00,15.49,12.62,22.43
2014,ANGOLA,AGO,-1.15,0.13,12.00,15.76,9.80,22.06
2015,ANGOLA,AGO,-1.19,0.13,10.00,15.76,9.80,21.57
1996,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ANGUILLA,AIA,0.81,0.39,1.00,75.00,55.50,92.34
2005,ANGUILLA,AIA,0.88,0.42,1.00,74.52,56.46,96.17
2006,ANGUILLA,AIA,1.04,0.51,1.00,81.25,54.55,100.00
2007,ANGUILLA,AIA,1.01,0.53,1.00,79.33,54.07,100.00
2008,ANGUILLA,AIA,1.00,0.53,1.00,80.29,53.59,100.00
2009,ANGUILLA,AIA,1.00,0.52,1.00,77.73,54.25,100.00
2010,ANGUILLA,AIA,1.02,0.49,1.00,79.62,55.66,100.00
2011,ANGUILLA,AIA,1.05,0.46,1.00,80.75,56.54,100.00
2012,ANGUILLA,AIA,1.07,0.44,1.00,82.63,58.41,100.00
2013,ANGUILLA,AIA,1.05,0.47,1.00,81.69,57.01,100.00
2014,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2015,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1996,ANTIGUA AND BARBUDA,ATG,0.29,0.30,3.00,59.13,43.54,72.25
1998,ANTIGUA AND BARBUDA,ATG,0.29,0.30,3.00,58.17,44.02,71.29
2000,ANTIGUA AND BARBUDA,ATG,0.35,0.30,3.00,59.13,47.85,74.64
2002,ANTIGUA AND BARBUDA,ATG,0.30,0.27,3.00,55.77,44.98,69.86
2003,ANTIGUA AND BARBUDA,ATG,0.27,0.27,3.00,54.81,42.11,69.38
2004,ANTIGUA AND BARBUDA,ATG,0.56,0.27,4.00,65.38,53.11,81.82
2005,ANTIGUA AND BARBUDA,ATG,0.55,0.27,4.00,64.42,54.07,78.95
2006,ANTIGUA AND BARBUDA,ATG,0.66,0.24,4.00,68.75,55.50,81.34
2007,ANTIGUA AND BARBUDA,ATG,0.57,0.23,4.00,65.87,54.55,75.12
2008,ANTIGUA AND BARBUDA,ATG,0.60,0.23,3.00,66.83,55.50,76.56
2009,ANTIGUA AND BARBUDA,ATG,0.60,0.23,3.00,67.77,55.66,75.47
2010,ANTIGUA AND BARBUDA,ATG,0.51,0.24,3.00,63.51,53.77,75.00
2011,ANTIGUA AND BARBUDA,ATG,0.53,0.23,3.00,64.79,54.67,75.23
2012,ANTIGUA AND BARBUDA,ATG,0.66,0.25,3.00,67.61,57.01,81.31
2013,ANTIGUA AND BARBUDA,ATG,0.65,0.23,4.00,67.14,57.01,79.44
2014,ANTIGUA AND BARBUDA,ATG,0.62,0.24,2.00,67.98,55.88,77.45
2015,ANTIGUA AND BARBUDA,ATG,0.69,0.22,2.00,70.44,58.82,80.88
1996,ARGENTINA,ARG,0.30,0.21,7.00,59.62,50.72,66.99
1998,ARGENTINA,ARG,0.17,0.22,7.00,53.37,44.02,64.59
2000,ARGENTINA,ARG,0.31,0.21,8.00,58.17,50.24,66.99
2002,ARGENTINA,ARG,0.16,0.17,10.00,52.88,45.45,60.29
2003,ARGENTINA,ARG,0.33,0.17,10.00,57.69,48.33,66.03
2004,ARGENTINA,ARG,0.34,0.17,11.00,59.13,51.20,67.94
2005,ARGENTINA,ARG,0.24,0.17,12.00,57.69,48.80,64.11
2006,ARGENTINA,ARG,0.36,0.13,15.00,58.17,52.63,64.11
2007,ARGENTINA,ARG,0.41,0.13,15.00,58.17,54.55,66.99
2008,ARGENTINA,ARG,0.31,0.13,15.00,57.69,51.20,62.68
2009,ARGENTINA,ARG,0.25,0.11,17.00,55.92,50.94,59.43
2010,ARGENTINA,ARG,0.33,0.11,17.00,57.82,54.25,63.68
2011,ARGENTINA,ARG,0.32,0.11,18.00,56.81,54.21,63.55
2012,ARGENTINA,ARG,0.26,0.11,18.00,57.28,53.27,62.62
2013,ARGENTINA,ARG,0.24,0.11,17.00,56.81,51.87,61.68
2014,ARGENTINA,ARG,0.30,0.13,14.00,58.62,50.00,65.20
2015,ARGENTINA,ARG,0.33,0.13,14.00,59.11,50.49,66.18
1996,ARMENIA,ARM,-0.73,0.30,3.00,25.96,13.88,43.06
1998,ARMENIA,ARM,-0.38,0.26,4.00,37.02,25.36,51.67
2000,ARMENIA,ARM,-0.41,0.21,5.00,36.06,26.79,49.76
2002,ARMENIA,ARM,-0.49,0.18,6.00,35.58,24.88,43.06
2003,ARMENIA,ARM,-0.50,0.17,7.00,33.65,26.32,40.19
2004,ARMENIA,ARM,-0.57,0.18,8.00,31.25,22.97,41.15
2005,ARMENIA,ARM,-0.60,0.18,9.00,29.81,22.97,38.76
2006,ARMENIA,ARM,-0.75,0.14,12.00,25.96,21.53,32.06
2007,ARMENIA,ARM,-0.76,0.14,12.00,26.92,20.10,31.58
2008,ARMENIA,ARM,-0.85,0.14,12.00,24.52,17.70,29.19
2009,ARMENIA,ARM,-0.88,0.14,12.00,24.17,15.09,30.19
2010,ARMENIA,ARM,-0.85,0.14,12.00,25.59,16.98,30.19
2011,ARMENIA,ARM,-0.68,0.14,12.00,28.64,24.77,32.24
2012,ARMENIA,ARM,-0.58,0.13,13.00,30.05,26.17,35.98
2013,ARMENIA,ARM,-0.60,0.13,12.00,29.11,25.23,36.45
2014,ARMENIA,ARM,-0.55,0.14,10.00,30.54,26.47,37.75
2015,ARMENIA,ARM,-0.54,0.14,10.00,29.56,26.96,36.76
1996,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ARUBA,ABW,0.70,0.39,1.00,71.15,51.20,90.43
2005,ARUBA,ABW,1.12,0.42,1.00,85.58,61.72,100.00
2006,ARUBA,ABW,1.04,0.51,1.00,81.25,54.55,100.00
2007,ARUBA,ABW,1.01,0.53,1.00,79.33,54.07,100.00
2008,ARUBA,ABW,1.00,0.53,1.00,80.29,53.59,100.00
2009,ARUBA,ABW,1.23,0.26,2.00,91.00,70.28,100.00
2010,ARUBA,ABW,1.26,0.24,2.00,91.47,73.11,100.00
2011,ARUBA,ABW,1.26,0.23,2.00,91.08,74.77,99.07
2012,ARUBA,ABW,1.27,0.20,2.00,91.08,75.70,96.26
2013,ARUBA,ABW,1.26,0.20,2.00,91.08,75.70,96.26
2014,ARUBA,ABW,1.24,0.27,1.00,91.63,71.08,99.51
2015,ARUBA,ABW,1.23,0.28,1.00,91.13,72.06,99.51
1996,AUSTRALIA,AUS,1.46,0.22,6.00,92.31,83.73,100.00
1998,AUSTRALIA,AUS,1.44,0.23,6.00,93.27,79.90,100.00
2000,AUSTRALIA,AUS,1.51,0.22,7.00,95.67,85.65,100.00
2002,AUSTRALIA,AUS,1.42,0.20,8.00,95.19,83.25,100.00
2003,AUSTRALIA,AUS,1.43,0.19,8.00,94.71,86.60,100.00
2004,AUSTRALIA,AUS,1.52,0.19,8.00,94.71,89.00,100.00
2005,AUSTRALIA,AUS,1.52,0.19,8.00,95.19,88.52,100.00
2006,AUSTRALIA,AUS,1.42,0.17,9.00,95.19,86.12,100.00
2007,AUSTRALIA,AUS,1.40,0.17,9.00,94.23,85.65,100.00
2008,AUSTRALIA,AUS,1.40,0.17,9.00,94.71,86.12,100.00
2009,AUSTRALIA,AUS,1.40,0.15,10.00,94.31,87.26,100.00
2010,AUSTRALIA,AUS,1.44,0.15,10.00,94.79,88.21,100.00
2011,AUSTRALIA,AUS,1.48,0.14,11.00,95.77,89.72,100.00
2012,AUSTRALIA,AUS,1.51,0.14,11.00,96.24,91.59,99.53
2013,AUSTRALIA,AUS,1.45,0.13,11.00,94.37,89.72,98.60
2014,AUSTRALIA,AUS,1.38,0.15,9.00,93.60,83.33,99.02
2015,AUSTRALIA,AUS,1.36,0.15,9.00,93.10,83.33,99.51
1996,AUSTRIA,AUT,1.49,0.22,6.00,93.75,84.69,100.00
1998,AUSTRIA,AUT,1.38,0.23,6.00,92.31,77.51,100.00
2000,AUSTRIA,AUT,1.34,0.22,7.00,90.38,77.51,99.52
2002,AUSTRIA,AUT,1.30,0.20,8.00,90.87,75.12,100.00
2003,AUSTRIA,AUT,1.29,0.19,8.00,90.87,77.03,100.00
2004,AUSTRIA,AUT,1.46,0.19,8.00,92.31,85.17,99.04
2005,AUSTRIA,AUT,1.35,0.19,8.00,90.38,81.34,98.56
2006,AUSTRIA,AUT,1.41,0.17,9.00,94.23,86.12,100.00
2007,AUSTRIA,AUT,1.40,0.17,9.00,95.19,86.12,100.00
2008,AUSTRIA,AUT,1.40,0.17,9.00,94.23,86.12,100.00
2009,AUSTRIA,AUT,1.42,0.15,10.00,94.79,87.26,100.00
2010,AUSTRIA,AUT,1.47,0.15,10.00,95.26,89.62,100.00
2011,AUSTRIA,AUT,1.43,0.14,11.00,94.84,88.79,99.53
2012,AUSTRIA,AUT,1.47,0.14,11.00,95.31,89.72,98.60
2013,AUSTRIA,AUT,1.48,0.13,11.00,96.24,91.12,99.07
2014,AUSTRIA,AUT,1.41,0.15,9.00,95.07,85.78,99.51
2015,AUSTRIA,AUT,1.40,0.15,9.00,94.58,84.31,99.51
1996,AZERBAIJAN,AZE,-1.12,0.26,4.00,14.42,6.70,26.79
1998,AZERBAIJAN,AZE,-1.00,0.23,5.00,18.75,9.57,31.10
2000,AZERBAIJAN,AZE,-0.85,0.20,6.00,22.60,13.88,32.06
2002,AZERBAIJAN,AZE,-0.95,0.16,8.00,20.67,14.83,28.23
2003,AZERBAIJAN,AZE,-1.06,0.16,8.00,20.67,10.53,25.84
2004,AZERBAIJAN,AZE,-1.04,0.16,9.00,18.75,10.05,25.36
2005,AZERBAIJAN,AZE,-1.08,0.16,11.00,15.38,10.05,24.88
2006,AZERBAIJAN,AZE,-1.22,0.13,13.00,13.46,8.61,20.10
2007,AZERBAIJAN,AZE,-1.18,0.13,13.00,13.94,9.57,20.57
2008,AZERBAIJAN,AZE,-1.28,0.13,13.00,12.02,8.13,18.18
2009,AZERBAIJAN,AZE,-1.21,0.13,14.00,12.80,9.43,20.75
2010,AZERBAIJAN,AZE,-1.26,0.13,14.00,12.32,8.96,17.92
2011,AZERBAIJAN,AZE,-1.25,0.13,14.00,12.21,8.41,17.76
2012,AZERBAIJAN,AZE,-1.25,0.13,14.00,14.08,7.48,17.29
2013,AZERBAIJAN,AZE,-1.35,0.13,13.00,11.27,5.61,15.42
2014,AZERBAIJAN,AZE,-1.42,0.14,11.00,8.37,4.90,14.71
2015,AZERBAIJAN,AZE,-1.51,0.13,11.00,7.39,4.41,13.73
1996,"BAHAMAS, THE",BHS,1.06,0.24,4.00,82.21,68.42,91.87
1998,"BAHAMAS, THE",BHS,1.11,0.26,4.00,85.10,67.46,98.09
2000,"BAHAMAS, THE",BHS,1.16,0.25,4.00,86.54,71.77,96.65
2002,"BAHAMAS, THE",BHS,1.16,0.24,4.00,87.50,70.33,99.04
2003,"BAHAMAS, THE",BHS,1.05,0.24,4.00,82.21,66.99,94.74
2004,"BAHAMAS, THE",BHS,1.02,0.25,4.00,82.21,67.94,90.91
2005,"BAHAMAS, THE",BHS,0.98,0.25,4.00,77.88,65.07,90.91
2006,"BAHAMAS, THE",BHS,1.04,0.22,4.00,79.81,69.86,93.78
2007,"BAHAMAS, THE",BHS,1.13,0.21,4.00,86.06,70.33,96.17
2008,"BAHAMAS, THE",BHS,1.15,0.21,4.00,86.54,71.29,96.17
2009,"BAHAMAS, THE",BHS,1.01,0.17,5.00,78.20,68.87,91.51
2010,"BAHAMAS, THE",BHS,0.98,0.17,5.00,76.30,68.87,91.04
2011,"BAHAMAS, THE",BHS,0.95,0.16,5.00,75.59,67.76,89.72
2012,"BAHAMAS, THE",BHS,0.93,0.16,5.00,75.59,67.29,87.85
2013,"BAHAMAS, THE",BHS,0.91,0.15,5.00,74.65,67.76,87.38
2014,"BAHAMAS, THE",BHS,1.06,0.18,4.00,80.79,71.08,92.65
2015,"BAHAMAS, THE",BHS,1.08,0.17,4.00,81.77,72.06,93.14
1996,BAHRAIN,BHR,-0.74,0.22,5.00,25.00,15.31,37.32
1998,BAHRAIN,BHR,-1.11,0.23,5.00,15.38,8.13,28.71
2000,BAHRAIN,BHR,-1.10,0.23,5.00,18.27,9.09,26.79
2002,BAHRAIN,BHR,-0.62,0.17,8.00,29.81,22.97,40.67
2003,BAHRAIN,BHR,-0.69,0.16,8.00,26.44,22.01,35.41
2004,BAHRAIN,BHR,-0.62,0.15,10.00,28.37,22.97,36.36
2005,BAHRAIN,BHR,-0.81,0.15,10.00,25.48,17.22,30.14
2006,BAHRAIN,BHR,-0.91,0.13,10.00,22.60,17.70,28.23
2007,BAHRAIN,BHR,-0.86,0.13,10.00,24.52,18.18,30.14
2008,BAHRAIN,BHR,-0.87,0.12,10.00,22.60,18.18,28.71
2009,BAHRAIN,BHR,-0.80,0.12,11.00,26.54,20.75,30.19
2010,BAHRAIN,BHR,-0.97,0.12,11.00,19.91,13.68,27.83
2011,BAHRAIN,BHR,-1.22,0.12,10.00,13.62,8.88,17.76
2012,BAHRAIN,BHR,-1.33,0.12,10.00,10.80,6.54,15.89
2013,BAHRAIN,BHR,-1.32,0.12,10.00,12.21,6.07,15.42
2014,BAHRAIN,BHR,-1.32,0.14,7.00,10.84,5.39,18.63
2015,BAHRAIN,BHR,-1.32,0.14,7.00,12.32,5.39,19.12
1996,BANGLADESH,BGD,-0.12,0.22,5.00,47.12,34.93,57.89
1998,BANGLADESH,BGD,-0.17,0.23,5.00,45.19,33.97,55.02
2000,BANGLADESH,BGD,-0.31,0.22,6.00,40.87,27.75,50.24
2002,BANGLADESH,BGD,-0.52,0.17,8.00,33.65,23.92,41.63
2003,BANGLADESH,BGD,-0.63,0.17,8.00,28.85,24.40,39.23
2004,BANGLADESH,BGD,-0.68,0.16,10.00,26.92,21.53,35.89
2005,BANGLADESH,BGD,-0.60,0.16,11.00,29.33,23.92,36.84
2006,BANGLADESH,BGD,-0.49,0.12,13.00,32.69,29.19,38.28
2007,BANGLADESH,BGD,-0.55,0.12,14.00,31.25,27.75,35.89
2008,BANGLADESH,BGD,-0.47,0.12,14.00,33.17,28.71,40.67
2009,BANGLADESH,BGD,-0.30,0.12,14.00,38.86,31.60,44.81
2010,BANGLADESH,BGD,-0.28,0.12,14.00,37.44,33.96,47.17
2011,BANGLADESH,BGD,-0.32,0.11,15.00,37.09,31.31,44.39
2012,BANGLADESH,BGD,-0.41,0.11,15.00,35.21,29.44,42.06
2013,BANGLADESH,BGD,-0.42,0.11,14.00,34.74,28.97,42.06
2014,BANGLADESH,BGD,-0.47,0.13,11.00,33.00,28.43,39.22
2015,BANGLADESH,BGD,-0.49,0.13,11.00,30.54,27.94,38.24
1996,BARBADOS,BRB,1.47,0.30,3.00,93.27,76.08,100.00
1998,BARBADOS,BRB,1.41,0.30,3.00,92.79,75.12,100.00
2000,BARBADOS,BRB,1.41,0.30,3.00,92.79,75.60,100.00
2002,BARBADOS,BRB,1.35,0.27,3.00,92.31,73.21,100.00
2003,BARBADOS,BRB,1.22,0.27,3.00,89.42,70.81,100.00
2004,BARBADOS,BRB,1.16,0.27,4.00,87.50,71.77,94.74
2005,BARBADOS,BRB,1.06,0.27,4.00,83.17,66.99,94.74
2006,BARBADOS,BRB,1.18,0.23,5.00,87.02,72.25,98.09
2007,BARBADOS,BRB,1.16,0.23,5.00,87.02,71.29,98.56
2008,BARBADOS,BRB,1.06,0.23,4.00,82.21,68.90,94.74
2009,BARBADOS,BRB,1.20,0.18,5.00,88.63,74.53,96.70
2010,BARBADOS,BRB,1.21,0.18,5.00,89.57,75.47,96.23
2011,BARBADOS,BRB,1.19,0.17,5.00,88.73,75.23,95.33
2012,BARBADOS,BRB,1.19,0.17,5.00,88.26,75.23,94.86
2013,BARBADOS,BRB,1.19,0.16,5.00,87.79,75.70,94.39
2014,BARBADOS,BRB,1.23,0.19,4.00,89.66,73.04,96.57
2015,BARBADOS,BRB,1.24,0.18,3.00,91.63,74.02,96.57
1996,BELARUS,BLR,-1.07,0.30,3.00,17.31,6.22,31.58
1998,BELARUS,BLR,-0.85,0.26,4.00,22.60,11.96,36.36
2000,BELARUS,BLR,-1.35,0.21,5.00,10.58,3.83,20.10
2002,BELARUS,BLR,-1.49,0.17,7.00,8.65,2.87,15.31
2003,BELARUS,BLR,-1.50,0.17,7.00,8.17,3.83,15.31
2004,BELARUS,BLR,-1.59,0.18,7.00,5.77,1.44,12.92
2005,BELARUS,BLR,-1.77,0.19,7.00,3.37,1.44,8.13
2006,BELARUS,BLR,-1.75,0.15,9.00,4.33,2.39,8.13
2007,BELARUS,BLR,-1.69,0.14,9.00,4.81,2.39,9.09
2008,BELARUS,BLR,-1.57,0.14,10.00,6.73,3.83,10.05
2009,BELARUS,BLR,-1.53,0.14,10.00,7.58,4.25,10.85
2010,BELARUS,BLR,-1.54,0.14,10.00,7.11,3.77,12.26
2011,BELARUS,BLR,-1.64,0.14,9.00,4.69,3.27,9.35
2012,BELARUS,BLR,-1.55,0.12,11.00,6.10,4.21,10.28
2013,BELARUS,BLR,-1.54,0.12,11.00,5.63,4.21,11.68
2014,BELARUS,BLR,-1.45,0.13,9.00,6.90,4.41,14.22
2015,BELARUS,BLR,-1.46,0.13,9.00,8.87,4.41,14.71
1996,BELGIUM,BEL,1.46,0.22,6.00,92.79,83.73,100.00
1998,BELGIUM,BEL,1.36,0.23,6.00,90.87,76.56,100.00
2000,BELGIUM,BEL,1.39,0.22,7.00,92.31,79.90,99.52
2002,BELGIUM,BEL,1.39,0.20,8.00,94.23,80.86,100.00
2003,BELGIUM,BEL,1.46,0.19,8.00,95.67,87.08,100.00
2004,BELGIUM,BEL,1.45,0.19,8.00,91.83,84.69,99.04
2005,BELGIUM,BEL,1.41,0.19,8.00,91.35,83.73,99.52
2006,BELGIUM,BEL,1.36,0.17,9.00,92.79,84.21,100.00
2007,BELGIUM,BEL,1.38,0.17,9.00,93.75,85.17,100.00
2008,BELGIUM,BEL,1.35,0.17,9.00,93.27,82.78,100.00
2009,BELGIUM,BEL,1.36,0.15,10.00,93.36,85.38,100.00
2010,BELGIUM,BEL,1.38,0.15,10.00,94.31,85.85,99.53
2011,BELGIUM,BEL,1.34,0.14,11.00,92.96,84.58,96.73
2012,BELGIUM,BEL,1.36,0.14,11.00,92.96,86.45,96.26
2013,BELGIUM,BEL,1.38,0.13,11.00,92.96,87.38,97.20
2014,BELGIUM,BEL,1.39,0.15,9.00,94.58,83.82,99.02
2015,BELGIUM,BEL,1.39,0.15,9.00,94.09,84.31,99.51
1996,BELIZE,BLZ,0.78,0.30,3.00,72.12,58.85,87.08
1998,BELIZE,BLZ,0.85,0.30,3.00,72.60,59.33,90.43
2000,BELIZE,BLZ,0.94,0.30,3.00,76.44,61.72,92.82
2002,BELIZE,BLZ,0.78,0.27,3.00,71.15,57.42,88.52
2003,BELIZE,BLZ,0.88,0.27,3.00,73.56,61.24,92.34
2004,BELIZE,BLZ,0.77,0.27,4.00,74.52,58.37,89.00
