Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
2013,AMERICAN SAMOA,ASM,0.37,0.51,1.00,63.51,34.43,86.32
2014,AMERICAN SAMOA,ASM,0.18,0.53,1.00,58.17,27.75,80.86
2015,AMERICAN SAMOA,ASM,0.17,0.47,1.00,58.17,29.67,79.43
1996,ANDORRA,ADO,1.24,0.48,1.00,88.24,65.37,99.51
1998,ANDORRA,ADO,1.26,0.49,1.00,89.71,66.83,99.51
2000,ANDORRA,ADO,1.23,0.45,1.00,88.73,67.32,99.02
2002,ANDORRA,ADO,1.42,0.38,1.00,90.69,74.63,100.00
2003,ANDORRA,ADO,1.39,0.29,1.00,90.69,77.07,99.51
2004,ANDORRA,ADO,1.38,0.33,1.00,88.73,76.59,99.51
2005,ANDORRA,ADO,1.35,0.25,1.00,90.20,76.59,99.02
2006,ANDORRA,ADO,1.34,0.32,1.00,91.18,73.17,99.51
2007,ANDORRA,ADO,1.36,0.37,1.00,90.29,72.95,99.52
2008,ANDORRA,ADO,1.38,0.39,1.00,89.81,73.91,100.00
2009,ANDORRA,ADO,1.38,0.44,1.00,90.43,72.38,100.00
2010,ANDORRA,ADO,1.37,0.48,1.00,89.47,70.00,100.00
2011,ANDORRA,ADO,1.60,0.49,1.00,93.84,75.94,100.00
2012,ANDORRA,ADO,1.56,0.52,1.00,93.84,74.53,100.00
2013,ANDORRA,ADO,1.56,0.51,1.00,92.89,73.58,100.00
2014,ANDORRA,ADO,0.85,0.53,1.00,77.40,52.15,94.74
2015,ANDORRA,ADO,0.89,0.47,1.00,78.37,55.98,93.30
1996,ANGOLA,AGO,-1.46,0.32,4.00,7.84,1.95,20.00
1998,ANGOLA,AGO,-1.72,0.27,6.00,5.88,2.44,10.73
2000,ANGOLA,AGO,-1.83,0.26,5.00,3.92,0.49,8.78
2002,ANGOLA,AGO,-1.49,0.22,6.00,6.86,3.41,13.66
2003,ANGOLA,AGO,-1.23,0.18,7.00,10.78,3.90,17.56
2004,ANGOLA,AGO,-1.25,0.18,8.00,9.80,5.37,17.07
2005,ANGOLA,AGO,-1.29,0.17,8.00,10.29,4.88,17.56
2006,ANGOLA,AGO,-1.12,0.18,9.00,13.24,7.32,21.46
2007,ANGOLA,AGO,-1.03,0.18,8.00,16.50,6.76,23.67
2008,ANGOLA,AGO,-1.06,0.18,8.00,16.02,6.28,22.71
2009,ANGOLA,AGO,-1.02,0.17,9.00,16.27,6.19,24.76
2010,ANGOLA,AGO,-1.02,0.16,10.00,16.27,7.62,24.76
2011,ANGOLA,AGO,-1.08,0.16,10.00,13.74,7.55,22.17
2012,ANGOLA,AGO,-0.96,0.18,9.00,18.96,9.43,28.30
2013,ANGOLA,AGO,-1.05,0.18,10.00,15.64,8.02,24.53
2014,ANGOLA,AGO,-0.98,0.18,10.00,16.83,8.61,28.23
2015,ANGOLA,AGO,-0.91,0.18,9.00,17.79,9.09,29.67
1996,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ANGUILLA,AIA,0.87,0.33,1.00,78.43,64.88,89.27
2005,ANGUILLA,AIA,1.10,0.25,1.00,81.86,70.24,92.20
2006,ANGUILLA,AIA,1.34,0.32,1.00,91.18,73.17,99.51
2007,ANGUILLA,AIA,1.36,0.37,1.00,90.29,72.95,99.52
2008,ANGUILLA,AIA,1.38,0.39,1.00,89.81,73.91,100.00
2009,ANGUILLA,AIA,1.38,0.44,1.00,90.43,72.38,100.00
2010,ANGUILLA,AIA,1.37,0.48,1.00,89.47,70.00,100.00
2011,ANGUILLA,AIA,1.35,0.49,1.00,89.57,70.75,100.00
2012,ANGUILLA,AIA,1.32,0.52,1.00,88.63,66.98,100.00
2013,ANGUILLA,AIA,1.32,0.51,1.00,89.10,67.45,100.00
2014,ANGUILLA,AIA,0.85,0.53,1.00,77.40,52.15,94.74
2015,ANGUILLA,AIA,0.89,0.47,1.00,78.37,55.98,93.30
1996,ANTIGUA AND BARBUDA,ATG,0.76,0.48,1.00,75.49,50.24,94.63
1998,ANTIGUA AND BARBUDA,ATG,0.77,0.49,1.00,75.49,52.20,95.12
2000,ANTIGUA AND BARBUDA,ATG,0.74,0.45,1.00,76.96,54.15,92.68
2002,ANTIGUA AND BARBUDA,ATG,0.68,0.38,1.00,70.59,56.59,87.80
2003,ANTIGUA AND BARBUDA,ATG,0.65,0.29,1.00,70.10,57.07,82.44
2004,ANTIGUA AND BARBUDA,ATG,0.55,0.30,2.00,68.63,56.10,79.51
2005,ANTIGUA AND BARBUDA,ATG,0.56,0.25,2.00,66.18,57.07,77.07
2006,ANTIGUA AND BARBUDA,ATG,0.53,0.31,2.00,66.18,54.63,80.49
2007,ANTIGUA AND BARBUDA,ATG,0.51,0.35,2.00,67.48,52.17,83.57
2008,ANTIGUA AND BARBUDA,ATG,0.62,0.39,1.00,71.36,53.62,86.96
2009,ANTIGUA AND BARBUDA,ATG,0.63,0.44,1.00,72.25,51.43,88.10
2010,ANTIGUA AND BARBUDA,ATG,0.63,0.48,1.00,72.73,46.67,90.00
2011,ANTIGUA AND BARBUDA,ATG,0.62,0.49,1.00,72.99,47.17,91.04
2012,ANTIGUA AND BARBUDA,ATG,0.60,0.52,1.00,72.04,43.87,91.04
2013,ANTIGUA AND BARBUDA,ATG,0.61,0.51,1.00,71.56,45.75,91.04
2014,ANTIGUA AND BARBUDA,ATG,0.51,0.53,1.00,68.75,40.19,89.47
2015,ANTIGUA AND BARBUDA,ATG,0.53,0.47,1.00,70.67,45.93,88.52
1996,ARGENTINA,ARG,0.62,0.27,6.00,70.10,57.07,83.90
1998,ARGENTINA,ARG,0.59,0.25,7.00,69.61,56.59,80.49
2000,ARGENTINA,ARG,0.29,0.22,7.00,61.76,51.22,71.22
2002,ARGENTINA,ARG,-0.94,0.20,8.00,18.63,10.73,28.29
2003,ARGENTINA,ARG,-0.72,0.18,8.00,23.53,17.07,39.02
2004,ARGENTINA,ARG,-0.70,0.18,9.00,23.53,15.61,39.51
2005,ARGENTINA,ARG,-0.57,0.17,9.00,28.92,20.98,45.85
2006,ARGENTINA,ARG,-0.63,0.18,10.00,26.96,18.54,42.93
2007,ARGENTINA,ARG,-0.66,0.18,10.00,26.21,17.39,39.61
2008,ARGENTINA,ARG,-0.74,0.18,9.00,23.30,16.43,37.68
2009,ARGENTINA,ARG,-0.84,0.17,10.00,23.44,12.86,32.38
2010,ARGENTINA,ARG,-0.76,0.17,10.00,24.40,16.19,34.76
2011,ARGENTINA,ARG,-0.72,0.16,11.00,25.59,18.87,35.38
2012,ARGENTINA,ARG,-0.94,0.17,11.00,20.38,10.38,28.30
2013,ARGENTINA,ARG,-0.97,0.17,11.00,18.01,9.43,26.89
2014,ARGENTINA,ARG,-1.08,0.18,11.00,12.50,6.22,25.36
2015,ARGENTINA,ARG,-0.96,0.17,11.00,16.83,8.13,28.71
1996,ARMENIA,ARM,-0.35,0.39,3.00,37.75,18.05,62.44
1998,ARMENIA,ARM,-0.11,0.31,5.00,48.04,24.88,65.37
2000,ARMENIA,ARM,-0.13,0.28,6.00,45.10,27.32,62.44
2002,ARMENIA,ARM,0.01,0.23,7.00,53.43,40.98,63.41
2003,ARMENIA,ARM,0.18,0.19,7.00,57.35,49.27,66.34
2004,ARMENIA,ARM,0.13,0.19,8.00,58.33,48.29,65.85
2005,ARMENIA,ARM,0.08,0.18,9.00,55.39,48.29,62.93
2006,ARMENIA,ARM,0.28,0.18,11.00,58.82,54.63,67.32
2007,ARMENIA,ARM,0.26,0.17,11.00,58.74,53.14,68.60
2008,ARMENIA,ARM,0.31,0.17,11.00,61.17,54.11,68.12
2009,ARMENIA,ARM,0.28,0.16,11.00,59.81,53.81,70.00
2010,ARMENIA,ARM,0.30,0.15,11.00,59.81,53.33,69.52
2011,ARMENIA,ARM,0.26,0.15,11.00,57.82,52.83,69.81
2012,ARMENIA,ARM,0.34,0.16,12.00,61.61,54.72,72.17
2013,ARMENIA,ARM,0.25,0.17,12.00,59.24,53.30,67.92
2014,ARMENIA,ARM,0.22,0.18,12.00,59.62,51.20,67.94
2015,ARMENIA,ARM,0.25,0.17,12.00,61.06,52.15,70.81
1996,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ARUBA,ABW,0.73,0.33,1.00,73.53,61.46,86.83
2005,ARUBA,ABW,0.85,0.25,1.00,75.00,62.93,87.80
2006,ARUBA,ABW,0.85,0.32,1.00,75.49,60.49,91.22
2007,ARUBA,ABW,0.86,0.37,1.00,77.18,58.45,91.30
2008,ARUBA,ABW,0.88,0.39,1.00,78.64,57.49,92.27
2009,ARUBA,ABW,1.31,0.34,2.00,86.60,73.81,99.52
2010,ARUBA,ABW,1.37,0.36,2.00,88.04,75.71,100.00
2011,ARUBA,ABW,1.35,0.36,2.00,90.05,75.94,99.53
2012,ARUBA,ABW,1.43,0.35,2.00,91.00,76.89,100.00
2013,ARUBA,ABW,1.45,0.34,2.00,91.00,77.83,100.00
2014,ARUBA,ABW,1.30,0.35,2.00,89.42,74.16,98.09
2015,ARUBA,ABW,1.38,0.34,2.00,90.87,76.08,98.56
1996,AUSTRALIA,AUS,1.23,0.27,6.00,87.25,75.61,96.59
1998,AUSTRALIA,AUS,1.43,0.27,6.00,93.14,80.49,97.56
2000,AUSTRALIA,AUS,1.60,0.23,6.00,94.61,86.83,99.02
2002,AUSTRALIA,AUS,1.44,0.23,6.00,91.67,82.93,98.05
2003,AUSTRALIA,AUS,1.58,0.20,6.00,93.63,87.32,99.51
2004,AUSTRALIA,AUS,1.74,0.21,6.00,96.08,88.78,100.00
2005,AUSTRALIA,AUS,1.60,0.19,6.00,94.61,88.29,100.00
2006,AUSTRALIA,AUS,1.62,0.21,6.00,95.10,87.32,100.00
2007,AUSTRALIA,AUS,1.68,0.23,6.00,95.63,86.96,100.00
2008,AUSTRALIA,AUS,1.76,0.24,6.00,96.60,87.92,100.00
2009,AUSTRALIA,AUS,1.82,0.22,7.00,98.09,91.43,100.00
2010,AUSTRALIA,AUS,1.69,0.24,7.00,96.65,86.19,100.00
2011,AUSTRALIA,AUS,1.85,0.22,8.00,98.10,91.98,100.00
2012,AUSTRALIA,AUS,1.78,0.22,8.00,97.16,90.09,100.00
2013,AUSTRALIA,AUS,1.80,0.22,8.00,97.16,90.09,100.00
2014,AUSTRALIA,AUS,1.87,0.23,8.00,98.08,91.39,100.00
2015,AUSTRALIA,AUS,1.80,0.22,8.00,96.63,91.39,99.04
1996,AUSTRIA,AUT,1.57,0.27,6.00,95.10,84.39,99.51
1998,AUSTRIA,AUT,1.34,0.27,6.00,91.67,79.51,97.07
2000,AUSTRIA,AUT,1.49,0.23,6.00,93.63,83.90,98.54
2002,AUSTRIA,AUT,1.56,0.23,6.00,93.63,84.88,99.51
2003,AUSTRIA,AUT,1.54,0.20,6.00,92.65,85.85,99.51
2004,AUSTRIA,AUT,1.54,0.21,6.00,92.16,83.90,99.51
2005,AUSTRIA,AUT,1.61,0.19,6.00,95.59,88.29,100.00
2006,AUSTRIA,AUT,1.65,0.21,6.00,96.08,87.80,100.00
2007,AUSTRIA,AUT,1.70,0.23,6.00,96.12,86.96,100.00
2008,AUSTRIA,AUT,1.60,0.24,6.00,94.17,86.47,100.00
2009,AUSTRIA,AUT,1.46,0.22,7.00,91.87,81.90,98.57
2010,AUSTRIA,AUT,1.46,0.24,7.00,92.34,81.90,98.57
2011,AUSTRIA,AUT,1.39,0.22,8.00,90.52,80.19,95.75
2012,AUSTRIA,AUT,1.52,0.22,8.00,91.47,84.43,98.58
2013,AUSTRIA,AUT,1.49,0.22,8.00,91.47,83.96,98.11
2014,AUSTRIA,AUT,1.49,0.23,8.00,91.35,83.25,97.61
2015,AUSTRIA,AUT,1.43,0.22,8.00,91.35,80.86,96.17
1996,AZERBAIJAN,AZE,-1.10,0.32,4.00,15.20,4.88,26.83
1998,AZERBAIJAN,AZE,-0.95,0.27,6.00,15.69,7.80,27.80
2000,AZERBAIJAN,AZE,-0.91,0.25,8.00,16.67,9.76,30.24
2002,AZERBAIJAN,AZE,-0.72,0.21,9.00,24.02,15.12,40.00
2003,AZERBAIJAN,AZE,-0.60,0.17,9.00,28.43,18.54,43.90
2004,AZERBAIJAN,AZE,-0.59,0.17,10.00,28.43,18.54,43.90
2005,AZERBAIJAN,AZE,-0.55,0.17,11.00,30.88,21.95,45.85
2006,AZERBAIJAN,AZE,-0.51,0.18,11.00,32.35,21.46,46.34
2007,AZERBAIJAN,AZE,-0.45,0.17,11.00,34.47,22.71,50.24
2008,AZERBAIJAN,AZE,-0.35,0.18,10.00,41.26,28.99,52.66
2009,AZERBAIJAN,AZE,-0.30,0.16,11.00,43.06,31.90,52.38
2010,AZERBAIJAN,AZE,-0.37,0.16,11.00,39.71,27.62,49.05
2011,AZERBAIJAN,AZE,-0.37,0.16,11.00,38.39,29.25,50.00
2012,AZERBAIJAN,AZE,-0.45,0.17,11.00,35.55,25.47,46.70
2013,AZERBAIJAN,AZE,-0.41,0.18,11.00,36.49,25.47,48.11
2014,AZERBAIJAN,AZE,-0.29,0.18,11.00,42.79,29.67,54.07
2015,AZERBAIJAN,AZE,-0.25,0.18,11.00,45.67,32.06,55.02
1996,"BAHAMAS, THE",BHS,0.92,0.40,3.00,78.43,60.00,95.61
1998,"BAHAMAS, THE",BHS,1.01,0.40,3.00,81.37,62.93,95.61
2000,"BAHAMAS, THE",BHS,1.13,0.37,3.00,85.29,68.29,95.61
2002,"BAHAMAS, THE",BHS,1.30,0.30,3.00,87.75,75.12,98.05
2003,"BAHAMAS, THE",BHS,1.14,0.25,3.00,82.84,73.17,92.68
2004,"BAHAMAS, THE",BHS,1.11,0.26,3.00,80.88,72.68,92.68
2005,"BAHAMAS, THE",BHS,1.10,0.22,3.00,79.41,71.22,91.22
2006,"BAHAMAS, THE",BHS,1.04,0.26,3.00,80.88,69.76,91.71
2007,"BAHAMAS, THE",BHS,1.02,0.29,3.00,81.07,68.60,91.79
2008,"BAHAMAS, THE",BHS,1.04,0.31,3.00,81.55,67.15,93.24
2009,"BAHAMAS, THE",BHS,0.76,0.27,4.00,74.16,61.90,84.76
2010,"BAHAMAS, THE",BHS,0.52,0.28,4.00,69.38,53.33,79.52
2011,"BAHAMAS, THE",BHS,0.49,0.29,4.00,68.25,52.83,78.77
2012,"BAHAMAS, THE",BHS,0.37,0.28,4.00,63.03,49.53,75.94
2013,"BAHAMAS, THE",BHS,0.17,0.28,4.00,57.35,43.87,73.11
2014,"BAHAMAS, THE",BHS,0.12,0.28,4.00,55.29,40.67,71.77
2015,"BAHAMAS, THE",BHS,0.25,0.28,4.00,61.54,47.85,73.21
1996,BAHRAIN,BHR,0.53,0.32,4.00,68.14,51.71,83.90
1998,BAHRAIN,BHR,0.66,0.33,4.00,71.57,55.12,87.32
2000,BAHRAIN,BHR,0.69,0.31,4.00,74.02,58.05,86.83
2002,BAHRAIN,BHR,0.87,0.22,6.00,75.98,66.34,86.34
2003,BAHRAIN,BHR,0.62,0.20,5.00,69.12,62.44,77.56
2004,BAHRAIN,BHR,0.73,0.20,6.00,74.02,64.88,79.51
2005,BAHRAIN,BHR,0.69,0.18,6.00,70.59,62.93,77.56
2006,BAHRAIN,BHR,0.70,0.21,6.00,71.57,62.44,80.49
2007,BAHRAIN,BHR,0.79,0.21,6.00,74.27,65.22,85.51
2008,BAHRAIN,BHR,0.72,0.22,6.00,73.30,63.29,81.64
2009,BAHRAIN,BHR,0.71,0.20,7.00,73.68,63.33,80.48
2010,BAHRAIN,BHR,0.73,0.21,7.00,75.12,64.29,81.90
2011,BAHRAIN,BHR,0.74,0.20,7.00,75.83,64.62,81.60
2012,BAHRAIN,BHR,0.70,0.23,7.00,74.41,60.38,81.13
2013,BAHRAIN,BHR,0.61,0.22,7.00,72.04,58.96,79.72
2014,BAHRAIN,BHR,0.70,0.23,7.00,74.04,63.16,81.34
2015,BAHRAIN,BHR,0.83,0.22,7.00,76.44,67.94,85.17
1996,BANGLADESH,BGD,-1.06,0.32,4.00,16.18,5.85,28.29
1998,BANGLADESH,BGD,-0.89,0.30,5.00,17.65,7.80,33.66
2000,BANGLADESH,BGD,-0.87,0.24,7.00,18.63,11.22,31.22
2002,BANGLADESH,BGD,-1.01,0.21,8.00,18.14,7.80,25.85
2003,BANGLADESH,BGD,-0.92,0.18,8.00,17.65,12.20,26.83
2004,BANGLADESH,BGD,-1.10,0.18,9.00,13.24,6.83,20.98
2005,BANGLADESH,BGD,-1.03,0.17,9.00,16.67,9.27,24.39
2006,BANGLADESH,BGD,-0.97,0.18,10.00,17.16,10.24,24.88
2007,BANGLADESH,BGD,-0.92,0.18,10.00,18.93,11.11,27.05
2008,BANGLADESH,BGD,-0.89,0.17,10.00,17.96,12.08,29.95
2009,BANGLADESH,BGD,-0.85,0.16,10.00,22.97,12.86,31.43
2010,BANGLADESH,BGD,-0.83,0.16,10.00,22.49,13.33,31.90
2011,BANGLADESH,BGD,-0.80,0.16,11.00,22.75,14.62,32.55
2012,BANGLADESH,BGD,-0.94,0.17,11.00,19.43,10.38,28.30
2013,BANGLADESH,BGD,-0.91,0.17,11.00,21.33,11.32,30.19
2014,BANGLADESH,BGD,-0.94,0.18,11.00,18.27,9.57,28.71
2015,BANGLADESH,BGD,-0.93,0.18,11.00,17.31,9.09,29.19
1996,BARBADOS,BRB,1.28,0.42,2.00,89.22,68.78,99.02
1998,BARBADOS,BRB,1.29,0.42,2.00,91.18,69.76,98.54
2000,BARBADOS,BRB,1.26,0.38,2.00,89.22,71.22,99.02
2002,BARBADOS,BRB,1.06,0.35,2.00,81.86,66.34,95.12
2003,BARBADOS,BRB,1.09,0.28,2.00,81.86,69.27,92.68
2004,BARBADOS,BRB,1.04,0.28,3.00,79.41,69.27,91.22
2005,BARBADOS,BRB,1.16,0.24,3.00,83.82,71.71,93.17
2006,BARBADOS,BRB,0.98,0.26,4.00,78.92,66.34,91.22
2007,BARBADOS,BRB,1.06,0.29,4.00,82.52,68.60,92.75
2008,BARBADOS,BRB,0.85,0.31,3.00,76.21,62.32,87.92
2009,BARBADOS,BRB,0.53,0.28,4.00,68.90,53.81,80.00
2010,BARBADOS,BRB,0.45,0.29,4.00,66.51,52.38,78.57
2011,BARBADOS,BRB,0.60,0.29,4.00,71.56,55.19,81.60
2012,BARBADOS,BRB,0.43,0.29,4.00,66.35,52.36,77.36
2013,BARBADOS,BRB,0.44,0.28,4.00,65.88,53.30,77.83
2014,BARBADOS,BRB,0.31,0.29,4.00,63.94,48.33,75.60
2015,BARBADOS,BRB,0.51,0.29,3.00,69.71,54.55,79.90
1996,BELARUS,BLR,-1.09,0.39,3.00,15.69,4.39,31.22
1998,BELARUS,BLR,-1.85,0.31,5.00,4.41,0.98,8.78
2000,BELARUS,BLR,-1.75,0.28,6.00,5.39,0.98,9.76
2002,BELARUS,BLR,-1.58,0.23,7.00,4.90,2.44,12.20
2003,BELARUS,BLR,-1.35,0.19,7.00,8.33,3.41,16.59
2004,BELARUS,BLR,-1.23,0.19,7.00,10.29,5.37,18.05
2005,BELARUS,BLR,-1.48,0.19,7.00,5.88,2.93,11.71
2006,BELARUS,BLR,-1.64,0.19,8.00,3.43,2.44,8.78
2007,BELARUS,BLR,-1.44,0.19,8.00,5.83,2.90,13.04
2008,BELARUS,BLR,-1.25,0.19,8.00,8.74,3.86,17.39
2009,BELARUS,BLR,-1.15,0.18,8.00,10.53,6.19,21.90
2010,BELARUS,BLR,-1.16,0.17,8.00,11.48,5.71,21.43
2011,BELARUS,BLR,-1.21,0.17,8.00,9.48,6.13,21.23
2012,BELARUS,BLR,-1.09,0.17,10.00,12.80,8.02,23.58
2013,BELARUS,BLR,-1.08,0.18,10.00,14.22,7.55,24.06
2014,BELARUS,BLR,-1.04,0.18,10.00,13.94,8.13,26.32
2015,BELARUS,BLR,-1.00,0.18,10.00,14.90,6.70,27.27
1996,BELGIUM,BEL,1.19,0.27,6.00,86.27,74.63,96.59
1998,BELGIUM,BEL,1.02,0.27,6.00,83.82,69.27,93.17
2000,BELGIUM,BEL,1.18,0.23,6.00,86.76,78.05,94.15
2002,BELGIUM,BEL,1.28,0.23,6.00,87.25,77.07,95.12
2003,BELGIUM,BEL,1.29,0.20,6.00,87.75,78.54,93.66
2004,BELGIUM,BEL,1.36,0.21,6.00,88.24,79.02,95.61
2005,BELGIUM,BEL,1.25,0.19,6.00,86.76,76.59,93.17
2006,BELGIUM,BEL,1.32,0.21,6.00,88.73,78.05,96.10
2007,BELGIUM,BEL,1.42,0.23,6.00,91.26,82.13,97.10
2008,BELGIUM,BEL,1.40,0.24,6.00,91.26,80.19,97.58
2009,BELGIUM,BEL,1.32,0.22,7.00,87.08,78.57,95.71
2010,BELGIUM,BEL,1.29,0.24,7.00,85.65,77.62,95.24
2011,BELGIUM,BEL,1.24,0.22,8.00,86.73,77.83,93.87
2012,BELGIUM,BEL,1.23,0.22,8.00,86.73,76.89,94.34
2013,BELGIUM,BEL,1.30,0.22,8.00,87.20,78.77,94.34
2014,BELGIUM,BEL,1.17,0.23,8.00,85.10,75.60,91.87
2015,BELGIUM,BEL,1.28,0.22,8.00,87.50,78.47,92.34
1996,BELIZE,BLZ,0.16,0.42,2.00,56.86,28.29,76.59
1998,BELIZE,BLZ,0.11,0.36,3.00,54.90,28.78,73.66
2000,BELIZE,BLZ,-0.03,0.32,3.00,53.43,28.29,67.32
2002,BELIZE,BLZ,-0.05,0.31,3.00,51.96,32.68,65.37
2003,BELIZE,BLZ,0.05,0.25,3.00,55.39,40.00,65.37
2004,BELIZE,BLZ,-0.19,0.25,4.00,47.55,27.80,62.44
