Year,Country/Territory,WBCode,Estimate,StdErr,NumSrc,Rank,Lower,Upper
2004,ALGERIA,DZA,-0.55,0.16,12.00,35.41,21.90,44.29
2005,ALGERIA,DZA,-0.70,0.16,12.00,30.62,18.57,40.00
2006,ALGERIA,DZA,-0.66,0.15,14.00,30.14,21.43,42.86
2007,ALGERIA,DZA,-0.73,0.15,15.00,26.32,17.62,39.05
2008,ALGERIA,DZA,-0.71,0.15,14.00,27.88,20.10,38.28
2009,ALGERIA,DZA,-0.76,0.14,14.00,26.54,17.45,37.26
2010,ALGERIA,DZA,-0.75,0.14,14.00,27.01,17.92,35.38
2011,ALGERIA,DZA,-0.78,0.13,15.00,25.35,16.82,35.51
2012,ALGERIA,DZA,-0.75,0.14,15.00,27.70,16.82,38.32
2013,ALGERIA,DZA,-0.66,0.13,15.00,30.99,21.03,41.59
2014,ALGERIA,DZA,-0.73,0.15,13.00,25.48,14.83,36.36
2015,ALGERIA,DZA,-0.83,0.15,13.00,20.67,11.96,31.58
1996,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,AMERICAN SAMOA,ASM,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,AMERICAN SAMOA,ASM,0.85,0.34,1.00,76.08,60.00,90.95
2005,AMERICAN SAMOA,ASM,1.15,0.35,1.00,86.12,65.24,94.76
2006,AMERICAN SAMOA,ASM,1.13,0.39,1.00,87.56,63.33,95.71
2007,AMERICAN SAMOA,ASM,1.15,0.37,1.00,86.60,65.71,95.24
2008,AMERICAN SAMOA,ASM,1.16,0.34,1.00,85.10,68.42,94.26
2009,AMERICAN SAMOA,ASM,1.17,0.38,1.00,86.26,65.57,96.23
2010,AMERICAN SAMOA,ASM,1.16,0.41,1.00,85.78,65.09,97.17
2011,AMERICAN SAMOA,ASM,1.13,0.41,1.00,84.98,63.55,97.20
2012,AMERICAN SAMOA,ASM,1.15,0.40,1.00,85.92,65.89,96.26
2013,AMERICAN SAMOA,ASM,1.15,0.38,1.00,85.92,66.36,95.79
2014,AMERICAN SAMOA,ASM,1.39,0.53,1.00,87.50,72.25,100.00
2015,AMERICAN SAMOA,ASM,1.36,0.50,1.00,87.98,70.33,100.00
1996,ANDORRA,ADO,1.20,0.37,2.00,87.56,64.76,98.10
1998,ANDORRA,ADO,1.27,0.34,2.00,89.00,71.90,97.14
2000,ANDORRA,ADO,1.34,0.28,2.00,89.47,78.57,96.67
2002,ANDORRA,ADO,1.28,0.34,2.00,87.56,71.90,96.19
2003,ANDORRA,ADO,1.07,0.32,2.00,83.25,64.76,92.86
2004,ANDORRA,ADO,1.22,0.32,2.00,87.08,70.95,94.76
2005,ANDORRA,ADO,1.02,0.33,2.00,83.25,62.86,91.90
2006,ANDORRA,ADO,0.94,0.35,2.00,78.47,60.95,90.48
2007,ANDORRA,ADO,1.22,0.34,2.00,87.08,70.00,95.71
2008,ANDORRA,ADO,1.22,0.32,2.00,87.50,70.81,94.74
2009,ANDORRA,ADO,1.25,0.35,2.00,87.20,68.87,97.64
2010,ANDORRA,ADO,1.23,0.37,2.00,87.20,66.98,97.64
2011,ANDORRA,ADO,1.43,0.37,2.00,89.67,73.83,100.00
2012,ANDORRA,ADO,1.44,0.36,2.00,89.67,74.30,100.00
2013,ANDORRA,ADO,1.44,0.35,2.00,90.14,74.30,100.00
2014,ANDORRA,ADO,1.62,0.53,1.00,90.38,76.56,100.00
2015,ANDORRA,ADO,1.59,0.50,1.00,89.90,75.12,100.00
1996,ANGOLA,AGO,-1.63,0.21,5.00,4.78,1.43,10.48
1998,ANGOLA,AGO,-1.70,0.21,7.00,2.87,1.90,8.10
2000,ANGOLA,AGO,-1.63,0.18,7.00,1.91,1.43,8.57
2002,ANGOLA,AGO,-1.61,0.19,8.00,2.87,0.00,8.57
2003,ANGOLA,AGO,-1.53,0.19,9.00,5.26,0.95,11.43
2004,ANGOLA,AGO,-1.46,0.17,11.00,5.74,1.90,11.90
2005,ANGOLA,AGO,-1.44,0.17,11.00,6.70,1.90,12.86
2006,ANGOLA,AGO,-1.29,0.16,13.00,8.61,3.33,14.29
2007,ANGOLA,AGO,-1.39,0.17,12.00,6.70,1.90,12.38
2008,ANGOLA,AGO,-1.39,0.16,13.00,6.73,1.91,11.48
2009,ANGOLA,AGO,-1.24,0.15,14.00,9.48,3.77,16.98
2010,ANGOLA,AGO,-1.26,0.14,15.00,9.00,3.77,15.57
2011,ANGOLA,AGO,-1.25,0.13,15.00,8.92,3.27,15.42
2012,ANGOLA,AGO,-1.27,0.14,14.00,7.51,2.80,15.89
2013,ANGOLA,AGO,-1.26,0.13,15.00,8.45,3.27,15.42
2014,ANGOLA,AGO,-1.10,0.14,13.00,11.06,6.70,19.62
2015,ANGOLA,AGO,-1.07,0.15,12.00,12.02,6.70,21.05
1996,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ANGUILLA,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ANGUILLA,AIA,1.16,0.34,1.00,86.12,68.57,94.29
2005,ANGUILLA,AIA,1.67,0.35,1.00,94.26,84.29,100.00
2006,ANGUILLA,AIA,1.65,0.39,1.00,92.82,82.38,100.00
2007,ANGUILLA,AIA,1.69,0.37,1.00,93.30,83.81,100.00
2008,ANGUILLA,AIA,1.71,0.34,1.00,93.75,83.73,100.00
2009,ANGUILLA,AIA,1.44,0.38,1.00,90.05,73.58,100.00
2010,ANGUILLA,AIA,1.42,0.41,1.00,89.57,72.17,100.00
2011,ANGUILLA,AIA,1.39,0.41,1.00,88.73,70.56,100.00
2012,ANGUILLA,AIA,1.41,0.40,1.00,89.20,71.96,100.00
2013,ANGUILLA,AIA,1.41,0.38,1.00,88.73,73.36,100.00
2014,ANGUILLA,AIA,0.02,0.53,1.00,58.65,20.10,77.99
2015,ANGUILLA,AIA,-0.02,0.50,1.00,57.21,20.10,76.56
1996,ANTIGUA AND BARBUDA,ATG,1.01,0.37,2.00,83.25,60.95,94.76
1998,ANTIGUA AND BARBUDA,ATG,1.05,0.34,2.00,83.25,66.19,93.33
2000,ANTIGUA AND BARBUDA,ATG,1.01,0.28,2.00,83.25,65.24,91.43
2002,ANTIGUA AND BARBUDA,ATG,1.02,0.34,2.00,82.30,63.33,92.86
2003,ANTIGUA AND BARBUDA,ATG,1.00,0.32,2.00,81.82,62.86,91.43
2004,ANTIGUA AND BARBUDA,ATG,0.91,0.31,3.00,78.95,62.38,90.95
2005,ANTIGUA AND BARBUDA,ATG,0.67,0.32,3.00,69.38,57.14,86.67
2006,ANTIGUA AND BARBUDA,ATG,0.94,0.34,3.00,78.95,62.38,90.48
2007,ANTIGUA AND BARBUDA,ATG,0.93,0.33,3.00,81.82,61.43,90.48
2008,ANTIGUA AND BARBUDA,ATG,0.97,0.32,3.00,81.73,63.16,90.91
2009,ANTIGUA AND BARBUDA,ATG,1.00,0.34,3.00,81.99,62.74,91.04
2010,ANTIGUA AND BARBUDA,ATG,0.99,0.36,3.00,81.04,63.21,91.04
2011,ANTIGUA AND BARBUDA,ATG,0.97,0.36,3.00,79.81,62.15,90.65
2012,ANTIGUA AND BARBUDA,ATG,0.98,0.35,3.00,80.28,64.02,90.19
2013,ANTIGUA AND BARBUDA,ATG,0.87,0.34,3.00,75.12,61.68,89.72
2014,ANTIGUA AND BARBUDA,ATG,-0.19,0.48,2.00,49.04,14.35,73.21
2015,ANTIGUA AND BARBUDA,ATG,0.21,0.46,2.00,62.98,33.01,80.86
1996,ARGENTINA,ARG,0.03,0.19,8.00,52.15,42.38,60.48
1998,ARGENTINA,ARG,-0.06,0.18,9.00,50.24,37.62,60.00
2000,ARGENTINA,ARG,-0.19,0.16,9.00,44.98,38.10,54.29
2002,ARGENTINA,ARG,-0.82,0.17,10.00,25.36,15.24,36.19
2003,ARGENTINA,ARG,-0.82,0.16,11.00,23.92,15.71,34.29
2004,ARGENTINA,ARG,-0.83,0.16,12.00,21.53,14.29,34.76
2005,ARGENTINA,ARG,-0.58,0.16,12.00,34.45,23.81,42.86
2006,ARGENTINA,ARG,-0.59,0.15,15.00,33.97,23.81,44.29
2007,ARGENTINA,ARG,-0.63,0.15,15.00,32.06,21.90,43.33
2008,ARGENTINA,ARG,-0.70,0.14,15.00,28.85,20.10,38.28
2009,ARGENTINA,ARG,-0.71,0.14,17.00,29.38,18.40,39.15
2010,ARGENTINA,ARG,-0.62,0.14,17.00,32.23,24.06,41.98
2011,ARGENTINA,ARG,-0.59,0.13,18.00,32.86,24.77,43.93
2012,ARGENTINA,ARG,-0.71,0.13,18.00,29.58,17.76,39.25
2013,ARGENTINA,ARG,-0.73,0.13,17.00,28.64,18.69,38.79
2014,ARGENTINA,ARG,-0.90,0.14,15.00,18.27,10.05,29.19
2015,ARGENTINA,ARG,-0.80,0.14,15.00,22.12,13.88,32.54
1996,ARMENIA,ARM,-0.49,0.28,4.00,34.45,19.52,49.52
1998,ARMENIA,ARM,-0.36,0.25,6.00,38.28,25.24,52.86
2000,ARMENIA,ARM,-0.46,0.21,7.00,36.84,26.67,49.52
2002,ARMENIA,ARM,-0.38,0.21,9.00,42.58,29.05,50.95
2003,ARMENIA,ARM,-0.33,0.20,9.00,43.54,30.00,53.33
2004,ARMENIA,ARM,-0.45,0.18,10.00,38.28,28.10,48.10
2005,ARMENIA,ARM,-0.37,0.18,11.00,41.63,31.90,51.43
2006,ARMENIA,ARM,-0.50,0.15,15.00,39.23,25.71,47.62
2007,ARMENIA,ARM,-0.46,0.15,15.00,40.19,26.67,48.10
2008,ARMENIA,ARM,-0.29,0.15,15.00,46.63,37.32,53.59
2009,ARMENIA,ARM,-0.45,0.14,15.00,40.76,30.19,48.58
2010,ARMENIA,ARM,-0.47,0.13,15.00,39.81,30.66,47.64
2011,ARMENIA,ARM,-0.43,0.13,15.00,41.78,30.84,49.07
2012,ARMENIA,ARM,-0.39,0.13,16.00,43.66,33.64,50.00
2013,ARMENIA,ARM,-0.32,0.13,15.00,45.54,37.85,52.80
2014,ARMENIA,ARM,-0.32,0.14,14.00,43.75,33.97,54.07
2015,ARMENIA,ARM,-0.34,0.14,14.00,42.79,32.54,53.59
1996,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2000,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2002,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2003,ARUBA,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2004,ARUBA,ABW,0.93,0.34,1.00,81.34,61.43,91.90
2005,ARUBA,ABW,0.88,0.35,1.00,79.90,60.00,90.95
2006,ARUBA,ABW,0.86,0.39,1.00,76.08,59.05,90.48
2007,ARUBA,ABW,0.88,0.37,1.00,77.99,59.05,90.48
2008,ARUBA,ABW,0.89,0.34,1.00,79.33,59.33,89.47
2009,ARUBA,ABW,1.42,0.23,2.00,89.10,82.55,96.23
2010,ARUBA,ABW,1.42,0.23,3.00,89.10,82.55,95.75
2011,ARUBA,ABW,1.34,0.21,3.00,87.79,79.91,92.99
2012,ARUBA,ABW,1.33,0.22,3.00,86.85,78.97,92.52
2013,ARUBA,ABW,1.31,0.23,3.00,86.85,78.50,92.52
2014,ARUBA,ABW,1.08,0.27,3.00,82.69,74.16,89.00
2015,ARUBA,ABW,1.29,0.25,3.00,85.58,77.51,90.91
1996,AUSTRALIA,AUS,1.67,0.19,7.00,96.17,90.48,100.00
1998,AUSTRALIA,AUS,1.75,0.19,7.00,96.17,91.43,100.00
2000,AUSTRALIA,AUS,1.70,0.16,7.00,95.22,91.43,100.00
2002,AUSTRALIA,AUS,1.75,0.18,7.00,95.69,91.43,100.00
2003,AUSTRALIA,AUS,1.84,0.18,8.00,95.69,92.38,100.00
2004,AUSTRALIA,AUS,1.81,0.17,8.00,95.69,92.38,100.00
2005,AUSTRALIA,AUS,1.71,0.17,8.00,94.74,90.95,100.00
2006,AUSTRALIA,AUS,1.75,0.17,9.00,94.26,90.48,100.00
2007,AUSTRALIA,AUS,1.74,0.17,9.00,94.26,90.00,100.00
2008,AUSTRALIA,AUS,1.75,0.17,9.00,95.19,89.95,100.00
2009,AUSTRALIA,AUS,1.73,0.16,10.00,94.79,90.09,100.00
2010,AUSTRALIA,AUS,1.76,0.16,10.00,94.79,90.09,100.00
2011,AUSTRALIA,AUS,1.74,0.14,11.00,94.37,90.19,100.00
2012,AUSTRALIA,AUS,1.76,0.15,11.00,94.84,90.19,100.00
2013,AUSTRALIA,AUS,1.76,0.15,11.00,95.77,90.19,100.00
2014,AUSTRALIA,AUS,1.93,0.17,10.00,96.15,90.43,100.00
2015,AUSTRALIA,AUS,1.82,0.16,10.00,94.23,89.47,100.00
1996,AUSTRIA,AUT,1.80,0.19,7.00,98.09,93.33,100.00
1998,AUSTRIA,AUT,1.83,0.19,7.00,97.61,92.38,100.00
2000,AUSTRIA,AUT,1.81,0.16,8.00,99.04,93.33,100.00
2002,AUSTRIA,AUT,1.86,0.18,8.00,98.09,92.86,100.00
2003,AUSTRIA,AUT,1.86,0.18,8.00,97.13,92.86,100.00
2004,AUSTRIA,AUT,1.85,0.17,8.00,96.17,92.38,100.00
2005,AUSTRIA,AUT,1.86,0.17,8.00,97.61,92.38,100.00
2006,AUSTRIA,AUT,1.91,0.17,9.00,98.56,92.38,100.00
2007,AUSTRIA,AUT,1.96,0.17,9.00,99.52,92.38,100.00
2008,AUSTRIA,AUT,1.93,0.17,9.00,99.04,92.34,100.00
2009,AUSTRIA,AUT,1.79,0.16,10.00,96.21,91.04,100.00
2010,AUSTRIA,AUT,1.81,0.16,10.00,96.21,91.04,100.00
2011,AUSTRIA,AUT,1.81,0.14,11.00,97.18,90.65,100.00
2012,AUSTRIA,AUT,1.85,0.15,11.00,97.65,90.65,100.00
2013,AUSTRIA,AUT,1.84,0.15,11.00,97.65,91.12,100.00
2014,AUSTRIA,AUT,1.96,0.17,10.00,96.63,90.43,100.00
2015,AUSTRIA,AUT,1.85,0.16,10.00,95.67,89.47,100.00
1996,AZERBAIJAN,AZE,-1.16,0.20,5.00,12.92,6.67,24.76
1998,AZERBAIJAN,AZE,-1.09,0.20,7.00,15.79,8.10,24.76
2000,AZERBAIJAN,AZE,-1.11,0.16,9.00,14.35,7.62,26.19
2002,AZERBAIJAN,AZE,-0.85,0.17,10.00,24.88,13.81,33.81
2003,AZERBAIJAN,AZE,-0.81,0.17,11.00,24.40,15.71,34.76
2004,AZERBAIJAN,AZE,-0.84,0.15,12.00,20.10,14.29,33.81
2005,AZERBAIJAN,AZE,-0.74,0.15,13.00,28.71,18.10,37.14
2006,AZERBAIJAN,AZE,-0.82,0.15,15.00,24.40,14.29,34.76
2007,AZERBAIJAN,AZE,-0.80,0.15,15.00,23.44,15.24,35.71
2008,AZERBAIJAN,AZE,-0.76,0.15,14.00,24.04,16.75,37.80
2009,AZERBAIJAN,AZE,-0.83,0.13,15.00,21.80,16.51,33.96
2010,AZERBAIJAN,AZE,-0.85,0.13,15.00,23.22,13.21,32.08
2011,AZERBAIJAN,AZE,-0.87,0.13,15.00,21.13,14.49,30.84
2012,AZERBAIJAN,AZE,-0.80,0.13,15.00,24.41,16.82,33.64
2013,AZERBAIJAN,AZE,-0.68,0.13,14.00,30.05,20.56,40.65
2014,AZERBAIJAN,AZE,-0.61,0.14,13.00,30.29,21.53,40.67
2015,AZERBAIJAN,AZE,-0.60,0.14,13.00,31.25,20.57,41.15
1996,"BAHAMAS, THE",BHS,1.09,0.31,4.00,85.65,64.29,94.76
1998,"BAHAMAS, THE",BHS,1.23,0.29,4.00,88.52,73.81,94.29
2000,"BAHAMAS, THE",BHS,1.25,0.24,4.00,86.60,76.19,94.29
2002,"BAHAMAS, THE",BHS,1.36,0.27,4.00,89.47,76.67,96.19
2003,"BAHAMAS, THE",BHS,1.36,0.26,4.00,90.43,79.05,95.24
2004,"BAHAMAS, THE",BHS,1.35,0.26,4.00,89.95,80.48,95.24
2005,"BAHAMAS, THE",BHS,1.33,0.27,4.00,89.95,80.00,95.71
2006,"BAHAMAS, THE",BHS,1.09,0.27,4.00,83.73,68.57,90.95
2007,"BAHAMAS, THE",BHS,1.25,0.26,4.00,88.04,74.76,92.86
2008,"BAHAMAS, THE",BHS,1.19,0.25,5.00,86.54,72.25,91.39
2009,"BAHAMAS, THE",BHS,0.78,0.19,6.00,72.51,63.21,84.43
2010,"BAHAMAS, THE",BHS,0.69,0.19,6.00,69.67,63.21,81.60
2011,"BAHAMAS, THE",BHS,0.57,0.18,6.00,68.08,62.15,74.30
2012,"BAHAMAS, THE",BHS,0.59,0.18,6.00,68.08,62.15,76.64
2013,"BAHAMAS, THE",BHS,0.61,0.19,6.00,69.01,61.68,78.04
2014,"BAHAMAS, THE",BHS,0.64,0.21,6.00,75.00,65.55,81.34
2015,"BAHAMAS, THE",BHS,0.56,0.20,6.00,71.15,63.64,77.99
1996,BAHRAIN,BHR,0.04,0.21,5.00,53.11,42.38,60.95
1998,BAHRAIN,BHR,0.39,0.22,5.00,62.20,52.38,73.81
2000,BAHRAIN,BHR,0.37,0.18,6.00,61.72,54.29,70.95
2002,BAHRAIN,BHR,0.61,0.18,8.00,66.51,60.48,77.14
2003,BAHRAIN,BHR,0.64,0.20,8.00,69.86,61.43,80.95
2004,BAHRAIN,BHR,0.76,0.18,9.00,72.73,64.29,83.33
2005,BAHRAIN,BHR,0.65,0.18,9.00,68.90,60.00,80.95
2006,BAHRAIN,BHR,0.42,0.18,9.00,63.16,56.19,70.00
2007,BAHRAIN,BHR,0.57,0.18,9.00,66.99,59.05,75.71
2008,BAHRAIN,BHR,0.57,0.18,9.00,67.31,59.33,76.56
2009,BAHRAIN,BHR,0.55,0.16,11.00,65.88,61.32,74.53
2010,BAHRAIN,BHR,0.48,0.16,11.00,64.93,60.85,71.70
2011,BAHRAIN,BHR,0.39,0.15,11.00,62.44,59.35,68.69
2012,BAHRAIN,BHR,0.28,0.16,11.00,61.97,57.01,66.36
2013,BAHRAIN,BHR,0.36,0.16,11.00,61.97,56.54,69.63
2014,BAHRAIN,BHR,0.45,0.18,9.00,68.27,63.64,76.56
2015,BAHRAIN,BHR,0.46,0.18,9.00,67.79,61.24,75.12
1996,BANGLADESH,BGD,-0.96,0.21,5.00,18.66,10.00,31.43
1998,BANGLADESH,BGD,-0.93,0.21,6.00,19.62,9.52,31.90
2000,BANGLADESH,BGD,-0.95,0.16,9.00,20.10,11.90,30.48
2002,BANGLADESH,BGD,-0.90,0.17,10.00,22.49,10.95,33.33
2003,BANGLADESH,BGD,-1.02,0.17,10.00,17.22,8.57,28.10
2004,BANGLADESH,BGD,-1.00,0.16,12.00,17.22,8.57,28.57
2005,BANGLADESH,BGD,-0.97,0.16,12.00,18.18,10.00,30.95
2006,BANGLADESH,BGD,-0.89,0.15,14.00,22.01,11.43,31.90
2007,BANGLADESH,BGD,-0.84,0.15,15.00,22.49,12.38,34.76
2008,BANGLADESH,BGD,-0.76,0.15,15.00,24.52,16.75,37.80
2009,BANGLADESH,BGD,-0.77,0.15,15.00,24.64,16.51,36.79
2010,BANGLADESH,BGD,-0.79,0.14,15.00,25.59,15.57,34.43
2011,BANGLADESH,BGD,-0.71,0.13,16.00,28.64,19.16,37.85
2012,BANGLADESH,BGD,-0.90,0.14,16.00,19.72,13.08,31.31
2013,BANGLADESH,BGD,-0.82,0.14,15.00,22.54,14.49,35.05
2014,BANGLADESH,BGD,-0.72,0.15,13.00,25.96,14.83,37.32
2015,BANGLADESH,BGD,-0.70,0.15,13.00,27.40,17.22,37.80
1996,BARBADOS,BRB,0.96,0.34,3.00,81.34,60.95,93.33
1998,BARBADOS,BRB,1.20,0.31,3.00,85.65,71.43,94.29
2000,BARBADOS,BRB,1.34,0.25,3.00,89.95,78.57,95.71
2002,BARBADOS,BRB,1.45,0.28,3.00,91.39,80.48,100.00
2003,BARBADOS,BRB,1.45,0.27,3.00,90.91,82.38,98.10
2004,BARBADOS,BRB,1.39,0.27,4.00,90.91,81.43,95.71
2005,BARBADOS,BRB,1.28,0.27,4.00,89.00,76.67,94.76
2006,BARBADOS,BRB,1.20,0.23,5.00,89.00,70.95,91.90
2007,BARBADOS,BRB,1.29,0.24,5.00,88.52,78.57,92.38
2008,BARBADOS,BRB,1.27,0.24,5.00,87.98,76.56,92.34
2009,BARBADOS,BRB,0.97,0.19,6.00,81.04,68.87,87.74
2010,BARBADOS,BRB,1.04,0.18,6.00,83.41,71.23,88.21
2011,BARBADOS,BRB,1.04,0.17,6.00,82.63,73.36,87.38
2012,BARBADOS,BRB,1.00,0.18,6.00,81.22,71.50,86.45
2013,BARBADOS,BRB,1.01,0.18,6.00,82.16,72.43,86.45
2014,BARBADOS,BRB,1.06,0.20,6.00,81.73,76.56,86.60
2015,BARBADOS,BRB,1.05,0.21,5.00,82.21,75.12,88.04
1996,BELARUS,BLR,-0.73,0.28,4.00,27.75,11.90,42.38
1998,BELARUS,BLR,-0.80,0.25,6.00,23.44,10.95,37.14
2000,BELARUS,BLR,-1.02,0.21,8.00,17.70,7.62,30.95
2002,BELARUS,BLR,-1.27,0.21,9.00,9.09,2.86,20.95
2003,BELARUS,BLR,-1.20,0.20,9.00,11.96,5.24,22.86
2004,BELARUS,BLR,-1.26,0.18,9.00,8.61,5.24,18.10
2005,BELARUS,BLR,-1.19,0.19,9.00,10.53,4.76,21.90
2006,BELARUS,BLR,-1.29,0.17,11.00,8.13,3.33,15.71
2007,BELARUS,BLR,-1.15,0.16,11.00,11.96,5.71,21.90
2008,BELARUS,BLR,-1.01,0.16,12.00,16.35,8.13,24.88
2009,BELARUS,BLR,-1.00,0.15,12.00,17.06,9.91,26.89
2010,BELARUS,BLR,-1.04,0.14,12.00,15.17,8.49,25.00
2011,BELARUS,BLR,-1.08,0.14,11.00,14.08,7.01,22.90
2012,BELARUS,BLR,-0.91,0.13,13.00,18.31,13.08,29.91
2013,BELARUS,BLR,-0.88,0.13,13.00,20.66,13.55,30.37
2014,BELARUS,BLR,-0.81,0.14,12.00,22.60,13.88,32.06
2015,BELARUS,BLR,-0.79,0.14,12.00,24.04,14.35,33.01
1996,BELGIUM,BEL,1.31,0.19,7.00,89.95,82.38,94.76
1998,BELGIUM,BEL,1.18,0.19,7.00,85.17,76.19,91.90
2000,BELGIUM,BEL,1.28,0.16,8.00,88.04,83.33,93.33
2002,BELGIUM,BEL,1.32,0.18,8.00,89.00,82.38,93.33
2003,BELGIUM,BEL,1.32,0.18,8.00,89.47,82.38,92.86
2004,BELGIUM,BEL,1.31,0.17,8.00,89.00,83.33,92.86
2005,BELGIUM,BEL,1.24,0.17,8.00,87.56,80.95,90.95
2006,BELGIUM,BEL,1.20,0.17,9.00,88.52,78.10,90.48
2007,BELGIUM,BEL,1.31,0.17,9.00,89.00,82.86,91.90
2008,BELGIUM,BEL,1.33,0.17,9.00,89.42,83.73,91.39
2009,BELGIUM,BEL,1.36,0.16,10.00,88.63,84.43,92.45
2010,BELGIUM,BEL,1.37,0.16,10.00,88.63,83.49,92.45
2011,BELGIUM,BEL,1.40,0.14,11.00,89.20,85.51,92.06
2012,BELGIUM,BEL,1.41,0.15,11.00,88.73,85.98,92.06
2013,BELGIUM,BEL,1.41,0.15,11.00,89.20,85.98,92.52
2014,BELGIUM,BEL,1.51,0.17,10.00,88.94,86.12,92.34
2015,BELGIUM,BEL,1.42,0.16,10.00,88.94,84.21,90.91
1996,BELIZE,BLZ,0.01,0.34,3.00,51.67,31.90,64.29
1998,BELIZE,BLZ,-0.10,0.29,4.00,49.28,32.38,61.90
2000,BELIZE,BLZ,0.05,0.24,4.00,53.59,41.43,63.33
2002,BELIZE,BLZ,-0.13,0.26,5.00,48.80,35.24,60.48
2003,BELIZE,BLZ,0.05,0.24,5.00,54.07,43.33,62.86
2004,BELIZE,BLZ,-0.21,0.23,6.00,46.41,34.29,59.05
